OperatorAddress,ConsensusPubKey.Type,ConsensusPubKey.Key,Jailed,Status,Tokens,DelegatorShares,Description.Moniker,Description.Identity,Description.Website,Description.SecurityContact,Description.Details,UnbondingHeight,UnbondingTime,Commission.CommissionRates.Rate,Commission.CommissionRates.MaxRate,Commission.CommissionRates.MaxChangeRate,Commission.UpdateTime,MinSelfDelegation
quickvaloper12ck6yu7c2plncdvwsxty0gxcgdnfvpw0wcked7,/cosmos.crypto.ed25519.PubKey,Ex5Sunl/RO9A92TYWiaxe0Kd0EeRLOnZWbaQXUULiV0=,false,BOND_STATUS_BONDED,1186036941142,1186036941142.000000000000000000,ZKValidator,3E38E52A12F94561,https://zkvalidator.com,devops@zkvalidator.com,Championing privacy and zero-knowledge technology across the proof-of-stake ecosystem,0,2023-01-06T23:11:29.984766559Z,0.100000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1thl5syhmscgnj7whdyrydw3w6vy8004480teal,/cosmos.crypto.ed25519.PubKey,fhjjElHXRhHhxcySIlyucfXdYTFyFpxbdCk3UomxOzc=,false,BOND_STATUS_BONDED,507407020020,507407020020.000000000000000000,RockawayX Infra,EB935356000A9562,https://rockawayx.com/infrastructure,infra@rockawayx.com,RockawayX Infra is decentralized institutional grade Cosmos Validator,0,2023-01-07T09:49:22.429350919Z,0.050000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1v3usw48az24apcvhxfcxkzln2znzzfgh6avssf,/cosmos.crypto.ed25519.PubKey,1qF1dAGQblwIw7VNqq2Ey1V9CGSygc/NcAtOjI1pmOY=,false,BOND_STATUS_BONDED,678846864184,678846864184.000000000000000000,Imperator.co,0878BA6BE556C132,https://imperator.co/,contact@imperator.co,100% refund on downtime slashing -- Professional Delegated Proof-of-Stake Network Validator,0,2023-01-07T09:26:28.359611018Z,0.050000000000000000,0.200000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1vefejvxthndkm76y96jcnx6qfafvf75emxq6g6,/cosmos.crypto.ed25519.PubKey,pGNRY/dnOpgcTzkX8rKgmKQxtqZR11fmU9MNNSN+t1M=,false,BOND_STATUS_BONDED,818429147602,818429147602.000000000000000000,Active Nodes,A2EA7DE76AD57E1A,https://www.activenodes.io,,We Skyrocket your Stake! Highly Available Enterprise Infrastructure with multiple nodes around the world,0,1970-01-01T00:00:00Z,0.050000000000000000,0.200000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1dpfjsfjjacyrpwyh8cln0cjem05muq9hue7zhk,/cosmos.crypto.ed25519.PubKey,tn/YpXJDCxc9fgCE9u8I+MSMh4lmY8+Hgcn1NiOvIgw=,false,BOND_STATUS_BONDED,478992076956,478992076956.000000000000000000,B-Harvest,8957C5091FBF4192,https://bharvest.io/,contact@bharvest.io,Provides secure validation services for dPoS networks,0,2023-01-06T23:10:48.315889254Z,0.050000000000000000,0.150000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1dv2je0n0v6mteawwr6uvd2xns9n9uusmfggj64,/cosmos.crypto.ed25519.PubKey,wBH7edp+2aiIOsdjMX4ijc7XRRmYGubRaRwS93pc/Cw=,false,BOND_STATUS_BONDED,250086580000,250086580000.000000000000000000,P2P Validator,E12F4695036D8072,p2p.org,security@p2p.org,,0,2023-01-06T21:47:04.164033494Z,0.100000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1wr38atcruxqh4u49q998n065g2mhsrskl4et7n,/cosmos.crypto.ed25519.PubKey,n3Uv7EhvzYAzyiFzcSdq/sxbvPoVBkZSuZwlTYPOSOU=,false,BOND_STATUS_BONDED,546403368503,546403368503.000000000000000000,Interop,4E0CE8E709527EE0,https://interop.ventures/,,Investing in protocols & primitives (operated by Kiln),0,2023-01-06T21:05:59.375934354Z,0.100000000000000000,0.200000000000000000,0.010000000000000000,2023-04-25T12:33:04.829971576Z,1
quickvaloper1wx5pt0nql9esd2ey85k22rhztfucfe7uz2j3js,/cosmos.crypto.ed25519.PubKey,ZrRm6wVXrHjF4TUbrZZ+50SyPA15OT6DGRj4PxOnfRY=,false,BOND_STATUS_BONDED,460116911104,460116911104.000000000000000000,duality,7EEB158F04FC67F7,,duality84@gmail.com,,0,1970-01-01T00:00:00Z,0.100000000000000000,0.100000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1wtg08l9nlmr77geq98tssrrnjegyxazwq2vhrp,/cosmos.crypto.ed25519.PubKey,DrHcWEsR2paxWqVtBwpQr7/FGgjNAtLhf+bvcqDO//g=,false,BOND_STATUS_BONDED,473393761580,473393761580.000000000000000000,TAKESHI,82DA4FF029A26E24,,germansilence@gmail.com,,0,1970-01-01T00:00:00Z,0.100000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper10vt8aw3mtn535k0qhreu658av44kzdrjf9rkp8,/cosmos.crypto.ed25519.PubKey,8UsQgrMCh3ZByP4ckQ3sGQgF1Occt8N4W419E1xWdxg=,false,BOND_STATUS_BONDED,781132202720,781132202720.000000000000000000,Simply Staking,,https://simply-vc.com.mt,info@simply-vc.com.mt,"Simply VC runs highly reliable and secure infrastructure in our own datacentre in Malta, built with the aim of supporting the growth of the blockchain ecosystem",0,1970-01-01T00:00:00Z,0.050000000000000000,0.150000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1snn4uhxh04gzpgk4l8naw3n6fu7ucwx3gzevkv,/cosmos.crypto.ed25519.PubKey,HDB0g1IbKawX5qdo0Sp+77i7sEf6ix0FtfgCWLN+Hx0=,false,BOND_STATUS_BONDED,747848829658,747848829658.000000000000000000,Chainflow,103DCE407C9F1D13,https://chainflow.io/staking,,Independent Validator Providing Fair and Equitable Staking for all #KeepStakeDecentralized,0,2023-01-06T20:46:45.183248494Z,0.070000000000000000,1.000000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper139egr0z2u8j9765nd7whzt9s3uyfpsrkhcvrjm,/cosmos.crypto.ed25519.PubKey,+ibAUkiDJ6/qDLaEOwouz8JG1ms1OSSRlp2qO2cUfWY=,false,BOND_STATUS_BONDED,459448819539,459448819539.000000000000000000,Stakin,83D300CB42D06962,https://stakin.com,security@stakin.com,Experienced enterprise validator running Proof-of-Stake nodes for the Cosmos ecosystem and beyond. Visit our website for more information: https://stakin.com,0,2023-01-07T09:39:33.423199596Z,0.050000000000000000,0.250000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper130l3edsv5t59zn53a60uyn29dlq73x2sratqc6,/cosmos.crypto.ed25519.PubKey,8CxFijv+zeDcQBKrcw6CM9KrvFKhoLTiA/7UgCW8fMA=,false,BOND_STATUS_BONDED,827350630643,827350630643.000000000000000000,Nodes.Guru,28B672FCE6BBD562,https://stake.nodes.guru,security@nodes.guru,"Guru of non-custodial staking. Professional node running, low fees, best uptime and 24/7 customer support.",0,1970-01-01T00:00:00Z,0.050000000000000000,0.200000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper13eq8xt9nu4v4la9hc5aeevksenu3se49qxj5xu,/cosmos.crypto.ed25519.PubKey,YhyXJz1pEUbi5NL81IPbqNt2d75PzEDSusRBOsWA4i8=,false,BOND_STATUS_BONDED,657167826164,657167826164.000000000000000000,Stakely.io,55A5F88B4ED52D3E,https://stakely.io/,admin@stakely.io,"🔥 Professional validator highly experienced in PoS 🔥 Slashing protection & Eligible for airdrops | Learn with our staking guides, video tutorials and FAQs | Part of the commission of our nodes will go to our Multicoin Faucet funds and other tools 🌱 Carbon Neutral 🌱",0,1970-01-01T00:00:00Z,0.050000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1nng6wzzlzt7htz2fa7xag959acusyjdvnfafph,/cosmos.crypto.ed25519.PubKey,tH/dcWdmPmBEuaUXd05IulSONwHh8nKxL4rHyG+/+fs=,false,BOND_STATUS_BONDED,561622661007,561622661007.000000000000000000,StakeLab,F12B081334CBE0C6,https://www.stakelab.fr,securite@stakelab.fr,Staking and Relaying Hub for Cosmos ecosystem,0,2023-01-06T19:58:53.467107317Z,0.050000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper15h27cuhr30stdgrz7ye38m03nzspm4s2wtmew2,/cosmos.crypto.ed25519.PubKey,V1rFxl9YKHBbFz2xVz0PKBIJwmYcSkSDLRtBJ9kvD/s=,false,BOND_STATUS_BONDED,278216709467,278216709467.000000000000000000,Enigma,6223697ACA24A4FF,https://enigma-validator.com/,contact@enigma-validator.com,Proof of Stake Validator on different projects -- Passionate about Data Science and Technology,0,2023-01-07T09:01:25.486722751Z,0.050000000000000000,0.200000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
quickvaloper15edk9n3g7h052uen6rm99ckpc75p3vlfh0wsld,/cosmos.crypto.ed25519.PubKey,mSyYFAzOwSUZfBYN57NTjSc1XWcxIaek3u0s05Cq5rA=,false,BOND_STATUS_BONDED,455839989151,458130634444.950045826236074752,Tecnodes,9E7A59BBDC93CC32,https://tecnodes.network,tecnodes.network@gmail.com,We offer highly reliable & secure proof of Stake services - 100% slash protection,129772,2023-02-02T10:44:38.766265408Z,0.100000000000000000,0.200000000000000000,0.050000000000000000,2023-03-20T13:30:48.946461894Z,1
quickvaloper140wpr9kjgqzmvf7sv7wrr3rf4c7ht9vx0aruc6,/cosmos.crypto.ed25519.PubKey,Dts80iAcfikrWQNgB6pwa10EySyqgPG5TJp7HKN5iLY=,false,BOND_STATUS_BONDED,291746093046,291746093046.000000000000000000,CosmosPug 🍒,E831E23101940CAC,https://cosmospug.com,contact@cosmospug.com,CosmosPug validator,0,1970-01-01T00:00:00Z,0.050000000000000000,0.200000000000000000,0.100000000000000000,2022-12-16T15:12:03.473258579Z,1
quickvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zesdm36,/cosmos.crypto.ed25519.PubKey,fyoe/Ya3XXGgHwCZm7MftOoxvY0bPd5+XjS9wPnsIDc=,false,BOND_STATUS_BONDED,496994598358,496994598358.000000000000000000," Lavender.Five Nodes 🐝",F87ADDB700C0CC94,https://www.lavenderfive.com/,hello@lavenderfive.com,100% soft slash protected. We strive to make the cosmos a more holistically wholesome place. Come say Hi! https://twitter.com/lavender_five https://t.me/LavenderFive https://discord.gg/RsSvF8jjrz,0,2023-01-06T18:15:30.162048278Z,0.050000000000000000,0.100000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1clmvzgshr45ntmf2uapl2uyaen2qrh2mc04usz,/cosmos.crypto.ed25519.PubKey,RmFY82IZ4f/jfyDwYphPHNL+J9sjSbraqtb9nHgZ+4A=,false,BOND_STATUS_BONDED,713781344046,713781344046.000000000000000000,LOA Labs,ACB2261DAB6606BA,https://loalabs.io,dev@loalabs.io,Laboratory for Better World Blockchains,0,1970-01-01T00:00:00Z,0.050000000000000000,0.200000000000000000,0.050000000000000000,2023-01-20T15:03:18.565934296Z,1
quickvaloper1e49vsmd5yje8mj0k7anyku9hnmspjdawltraqd,/cosmos.crypto.ed25519.PubKey,rTUkAo3ynFik2SUxt29rPgSKZKdswUxKzoMe1QILC+E=,false,BOND_STATUS_BONDED,450203998190,450203998190.000000000000000000,Kiln,9B74364A5E526BED,https://kiln.fi,infra-team+qck@kiln.fi,Enterprise-grade staking made easy,0,2023-01-06T16:12:59.823997100Z,0.080000000000000000,1.000000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,/cosmos.crypto.ed25519.PubKey,AHjTss4Q5kzWQMk6oMQJTZuJPZlLd04pa1xLUEJelwY=,false,BOND_STATUS_BONDED,4596994133225,4596994133225.000000000000000000,Chorus One,00B79D689B7DC1CE,https://chorus.one,security@chorus.one,"Secure Quicksilver and shape its future by delegating to Chorus One, a highly secure and stable validator. By delegating, you agree to the terms of service at: https://chorus.one/tos",0,1970-01-01T00:00:00Z,0.050000000000000000,0.300000000000000000,0.150000000000000000,2022-12-16T13:00:00Z,1
quickvaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qknthle7,/cosmos.crypto.ed25519.PubKey,qMVD9McVxlD2A/vdclVwi8dM7z32JmMoICT+TeB7vU4=,false,BOND_STATUS_BONDED,523282427472,523282427472.000000000000000000,Oni ⛩,5A8AB49CF5CAAF3C,www.OniValidator.com,onivalidator@protonmail.com,The Oni Protectorate ⚛<fe0f> Validator for the Cosmos. Friend to the Cosmonaut.,0,2023-01-07T09:16:08.210808287Z,0.050000000000000000,0.200000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1a89k43uwxhqshaxkh3feql0a0scfqtrz4xyuph,/cosmos.crypto.ed25519.PubKey,9yAyBbJHuypOdr94xERiKbUlCwMOZIVR+COfMjPs9/A=,false,BOND_STATUS_BONDED,621630859981,621630859981.000000000000000000,landeros | StakeUp,9DE3A32AD7EB00B3,https://stakeup.tech,landerosua@gmail.com,"Non-custodial staking provider. High service, good support.",0,1970-01-01T00:00:00Z,0.100000000000000000,0.150000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1a2vjfh0wr63zzesr6n36658uq4wkpayhheu07g,/cosmos.crypto.ed25519.PubKey,XrbZJYfIa6cimppq92HsrEKrBb94+WIz0gDuvk0rx/A=,false,BOND_STATUS_BONDED,510530801506,510530801506.000000000000000000,AgoraNodes,,https://agoranodes.com,agoranodes@protonmail.com,Thank you for staking with AgoraNodes. Join @AgoraNodes on Telegram for more fun!,0,2023-01-06T15:40:02.921970382Z,0.050000000000000000,0.150000000000000000,0.100000000000000000,2022-12-16T13:00:00Z,1
